full date,Day,Month,year,Open Today,Open 1d,High 1d,Low 1d,Close 1d,Adj Close 1d,Volume 1d,Open 2d,High 2d,Low 2d,Close 2d,Adj Close 2d,Volume 2d,Open 3d,High 3d,Low 3d,Close 3d,Adj Close 3d,Volume 3d,Up Today
40665,2,5,2011,273.123108,270.270264,272.322327,269.524536,272.322327,272.322327,8448500,269.299286,269.894897,267.307312,269.254242,269.254242,3996000,269.269257,269.32431,267.442444,269.149139,269.149139,4592200,0
40666,3,5,2011,268.833832,273.123108,273.138153,268.828827,269.549561,269.549561,4263100,270.270264,272.322327,269.524536,272.322327,272.322327,8448500,269.299286,269.894897,267.307312,269.254242,269.254242,3996000,0
40667,4,5,2011,267.852844,268.833832,271.276276,265.080078,267.212219,267.212219,4158800,273.123108,273.138153,268.828827,269.549561,269.549561,4263100,270.270264,272.322327,269.524536,272.322327,272.322327,8448500,1
40668,5,5,2011,267.197205,267.852844,269.769775,266.776764,268.163177,268.163177,4229700,268.833832,271.276276,265.080078,267.212219,267.212219,4158800,273.123108,273.138153,268.828827,269.549561,269.549561,4263100,1
40669,6,5,2011,269.34433,267.197205,269.97998,266.016022,267.402405,267.402405,3991600,267.852844,269.769775,266.776764,268.163177,268.163177,4229700,268.833832,271.276276,265.080078,267.212219,267.212219,4158800,0
40672,2,5,2011,267.767761,269.34433,271.001007,267.857849,267.917908,267.917908,4108000,267.197205,269.97998,266.016022,267.402405,267.402405,3991600,267.852844,269.769775,266.776764,268.163177,268.163177,4229700,1
40673,3,5,2011,270.270264,267.767761,269.514526,265.815826,269.1091,269.1091,3893500,269.34433,271.001007,267.857849,267.917908,267.917908,4108000,267.197205,269.97998,266.016022,267.402405,267.402405,3991600,1
40674,4,5,2011,270.340332,270.270264,272.487488,269.039032,271.601593,271.601593,4081700,267.767761,269.514526,265.815826,269.1091,269.1091,3893500,269.34433,271.001007,267.857849,267.917908,267.917908,4108000,0
40675,5,5,2011,267.887878,270.340332,272.047058,267.112122,267.992981,267.992981,4672900,270.270264,272.487488,269.039032,271.601593,271.601593,4081700,267.767761,269.514526,265.815826,269.1091,269.1091,3893500,0
40676,6,5,2011,267.572571,267.887878,268.738739,265.720734,267.792786,267.792786,2893700,270.340332,272.047058,267.112122,267.992981,267.992981,4672900,270.270264,272.487488,269.039032,271.601593,271.601593,4081700,0
40679,2,5,2011,263.418427,267.572571,268.228241,264.789795,265.040039,265.040039,4213100,267.887878,268.738739,265.720734,267.792786,267.792786,2893700,270.340332,272.047058,267.112122,267.992981,267.992981,4672900,0
40680,3,5,2011,257.972961,263.418427,263.898895,258.458466,259.469482,259.469482,5910400,267.572571,268.228241,264.789795,265.040039,265.040039,4213100,267.887878,268.738739,265.720734,267.792786,267.792786,2893700,1
40681,4,5,2011,265.035034,257.972961,265.875885,257.772766,265.495483,265.495483,6600500,263.418427,263.898895,258.458466,259.469482,259.469482,5910400,267.572571,268.228241,264.789795,265.040039,265.040039,4213100,1
40682,5,5,2011,266.631622,265.035034,265.43042,263.113098,265.170166,265.170166,3902400,257.972961,265.875885,257.772766,265.495483,265.495483,6600500,263.418427,263.898895,258.458466,259.469482,259.469482,5910400,0
40683,6,5,2011,266.166168,266.631622,268.538544,265.125122,265.8909,265.8909,4932400,265.035034,265.43042,263.113098,265.170166,265.170166,3902400,257.972961,265.875885,257.772766,265.495483,265.495483,6600500,0
40686,2,5,2011,258.558563,266.166168,266.261261,261.826813,262.277283,262.277283,4630300,266.631622,268.538544,265.125122,265.8909,265.8909,4932400,265.035034,265.43042,263.113098,265.170166,265.170166,3902400,1
40687,3,5,2011,260.445435,258.558563,260.260254,256.95697,259.454468,259.454468,4595400,266.166168,266.261261,261.826813,262.277283,262.277283,4630300,266.631622,268.538544,265.125122,265.8909,265.8909,4932400,0
40688,4,5,2011,258.92392,260.445435,262.242249,259.33432,259.389404,259.389404,3796200,258.558563,260.260254,256.95697,259.454468,259.454468,4595400,266.166168,266.261261,261.826813,262.277283,262.277283,4630300,1
40689,5,5,2011,259.1091,258.92392,261.646637,258.883881,260.095093,260.095093,2600500,260.445435,262.242249,259.33432,259.389404,259.389404,3796200,258.558563,260.260254,256.95697,259.454468,259.454468,4595400,1
40690,6,5,2011,259.499512,259.1091,261.32132,257.757751,259.32431,259.32431,4232700,258.92392,261.646637,258.883881,260.095093,260.095093,2600500,260.445435,262.242249,259.33432,259.389404,259.389404,3796200,1
40694,3,5,2011,262.762756,259.499512,261.156158,258.408417,260.710724,260.710724,3488100,259.1091,261.32132,257.757751,259.32431,259.32431,4232700,258.92392,261.646637,258.883881,260.095093,260.095093,2600500,1
40695,4,6,2011,264.284271,262.762756,264.789795,262.012024,264.77478,264.77478,5369200,259.499512,261.156158,258.408417,260.710724,260.710724,3488100,259.1091,261.32132,257.757751,259.32431,259.32431,4232700,0
40696,5,6,2011,264.049042,264.284271,266.866852,262.917908,263.063049,263.063049,5905800,262.762756,264.789795,262.012024,264.77478,264.77478,5369200,259.499512,261.156158,258.408417,260.710724,260.710724,3488100,1
40697,6,6,2011,261.261261,264.049042,265.415405,261.501495,264.294281,264.294281,4404500,264.284271,266.866852,262.917908,263.063049,263.063049,5905800,262.762756,264.789795,262.012024,264.77478,264.77478,5369200,1
40700,2,6,2011,262.032043,261.261261,264.064056,261.011017,261.801788,261.801788,3493500,264.049042,265.415405,261.501495,264.294281,264.294281,4404500,264.284271,266.866852,262.917908,263.063049,263.063049,5905800,0
40701,3,6,2011,261.706696,262.032043,263.673676,259.884888,260.790802,260.790802,3880300,261.261261,264.064056,261.011017,261.801788,261.801788,3493500,264.049042,265.415405,261.501495,264.294281,264.294281,4404500,0
40702,4,6,2011,258.523529,261.706696,262.577576,259.754761,259.77478,259.77478,3811300,262.032043,263.673676,259.884888,260.790802,260.790802,3880300,261.261261,264.064056,261.011017,261.801788,261.801788,3493500,1
